User,Community_ID,User_type
gurovalexey,1,follower
alexeytkachenko,1,follower
id33505768,1,follower
bobbyking,1,follower
suvorova2206,1,follower
nataliageller,1,follower
darlingyulia,1,follower
id36442024,1,follower
roman.sharafutdinov,1,follower
natalia.baranova,1,follower
liubaeva,1,follower
annarich84,1,follower
edwardskat,1,follower
stigmat,1,follower
katarinaseverenchuk,1,follower
kosmosst,1,follower
maksimkarpov,1,follower
idguffik,1,follower
lerentas,1,follower
id503,1,follower
kosinovajulila,1,follower
royalwed,1,follower
olyaflow,1,follower
elmirakachaeva,1,follower
asirotkin,1,follower
baklanton,1,follower
lovego,1,follower
bochkov,1,follower
kraevae,1,follower
julyaostapenko,1,follower
alexeytsarkov,1,follower
alexanderkadochnikov,1,follower
alexrogulin,1,follower
spikone,1,follower
hulumulus,1,follower
vladimirtrudov,1,follower
daskovsky,1,follower
id163234512,1,follower
makarenkos,1,follower
id1087,1,follower
id31107,1,follower
chertovochkaa,1,follower
id84324595,1,follower
id1934,1,follower
id231673699,1,follower
id429966299,1,follower
talalay,1,follower
annaivanovaphotographer,1,follower
anastasiavarlamova,1,follower
kovalevea,1,follower
artemkotenko,1,follower
tanechka.tanyusha22,1,follower
id224209333,1,follower
karmannoezlo,1,follower
anastasiyapereverzeva,1,follower
id30830737,1,follower
shtepaigor,1,follower
sontales,1,follower
anyagerasimova07,1,follower
veraroo,1,follower
natakrutovanata2011,1,follower
id7501,1,follower
dimatim,1,follower
renokrenok,1,follower
valeria.kosenkova,1,follower
demibrow,1,follower
dziubadaria,1,follower
id37795,1,follower
id385924,1,follower
doronkinanatalia,1,follower
dimabumagin,1,follower
cherenkovaveronika,1,follower
viorel,1,follower
a.bratukhina,1,follower
i.krainyuk,1,follower
stunt78,1,follower
boojywoo,1,follower
polinagaevskaya,1,follower
stereoroma,1,follower
anngelok,1,follower
anti,1,follower
voinovskiy,1,follower
romeomosh,1,follower
antonovalyubov,1,follower
avikshaboyan,1,follower
virgykoval,1,follower
daryateplo,1,follower
alievakat,1,follower
id23555,1,follower
koldunov,1,follower
tikhomirovadv,1,follower
armel,1,follower
brytalno,1,follower
vtimo,1,follower
vkadrechusky,1,follower
chooev,1,follower
id300666,1,follower
ms.anastaisha,1,follower
irasashkina,1,follower
groovova,1,follower
mensmerit,1,follower
maxlykov,1,follower
psirotkina,1,follower
makvideo,1,follower
glasir,1,follower
balaeva,1,follower
nikitarubtsov,1,follower
vologdina,1,follower
alisaborkova,1,follower
cerber,1,follower
id187681,1,follower
avrorin,1,follower
nineoneone,1,follower
belinskiyphoto,1,follower
lasperanza,1,follower
id6964207,1,follower
vividj,1,follower
valeriap,1,follower
angelinataburtsa,1,follower
elistratov,1,follower
lanly,1,follower
ivanov,1,follower
engage,1,follower
id300636,1,follower
nataliiaa,1,follower
smaistrov,1,follower
id16972546,1,follower
chikulja,1,follower
sushisuper,1,follower
alekseevphoto,1,follower
leonidshow,1,follower
id249122548,1,follower
danushkin,1,follower
deejay,1,follower
kostenko,1,follower
lnekrasova,1,follower
annalferova,1,follower
izoomrooddmitry,1,follower
lindacherenkova,1,follower
muchkaev,1,follower
kazansky,1,follower
id20897800,1,follower
alexanderratnikov,1,follower
leragansta,1,follower
alexburd,1,follower
varvlad,1,follower
denisovaolesa,1,follower
freez,1,follower
id2658310,1,follower
vyrelkin,2,leader
bamurashev,2,agent
frolovrn,2,agent
pasholikov,2,agent
baholdin,2,agent
simonkibalo,2,agent
korlevna,2,agent
sitnikova,2,agent
temoshamedvedev,2,agent
pavelangel,2,agent
izevsik,2,agent
t.nikitina,2,agent
savichev,2,follower
ekovalev,2,follower
id2266,2,follower
zarubink,2,follower
sanychbox,2,follower
khudyakova,2,follower
id8086,2,follower
